date,wsj_mean_compound,reuters_mean_compound,cnbc_mean_compound,bloomberg_mean_compound,adj close
7/7/22,-0.0004277,0.10115,-0.06472,-0.4215,1
7/8/22,0.0001647,0.1998,-0.22805,0.0910667,-1
7/11/22,-0.0986667,-0.148,0.119175,-0.21075,-1
7/12/22,0.1909,-0.2376,-0.1078333,-0.0005749,1
7/13/22,0.0003075,0.11092,0.0861333,-0.0426667,1
7/14/22,-0.296,-0.023,-0.1743,-0.2235,-1
7/15/22,-0.2796,-0.25355,-0.00176,-0.0072962,-1
7/18/22,-0.4019,0.0986667,-0.1646333,-0.0020781,1
7/19/22,0.4404,0.2553,0.0356875,0.1755667,1
7/20/22,0.0022976,0.5994,0.25954,0.0238331,1
7/21/22,0.0002668,0.67445,0.1023667,0.0227202,-1
7/22/22,-0.2732,-0.5106,0.0439,0.3062,-1
7/25/22,0.0000437,0.0000452,0.01425,0.0001801,-1
7/26/22,-0.3976,0.0894667,-0.0934,0.301875,1
7/27/22,0.2294,0.105375,0.09176,-0.14365,1
7/28/22,0.0003081,0.31835,0.0426875,-0.0908,1
7/29/22,0.0019852,0.3774,0.0048333,0.2553,1
8/1/22,-0.296,-0.0008474,0.1182286,-0.19415,1
8/2/22,-0.5994,0.2229667,-0.0969,-0.0006509,1
8/3/22,0.0010275,-0.0255,0.1779,0.3193,-1
8/4/22,0.1807667,-0.0567333,0.201625,-0.0444,1
8/5/22,-0.14925,0.0164,0.092375,0.3284,-1
8/8/22,-0.0004245,-0.0005217,-0.04955,-0.120925,-1
8/9/22,-0.2023,-0.3263,-0.1115833,-0.085,-1
8/10/22,0.0015688,0.6597,-0.02965,0.107425,-1
8/11/22,0.34,0.0232333,0.0903,0.6486,1
8/12/22,0.26335,0.507825,0.2790875,-0.0866091,1
8/15/22,0.082225,0.3137,-0.0949,-0.1591,1
8/16/22,0.0005497,0.148,0.121,0.0420833,1
8/17/22,0.0001226,-0.008025,0.2251889,-0.0910667,-1
8/18/22,-0.0002425,-0.1282667,-0.3165667,0.09814,-1
8/19/22,0.19935,-0.2986,0.0096444,-0.3033667,-1
8/22/22,-0.0028198,-0.8339,-0.137325,-0.0166355,1
8/23/22,-0.2559,-0.0118833,-0.104333,-0.083333,1
8/24/22,-0.3818,-0.025675,-0.031945,0.2553,1
8/25/22,0.4215,-0.0792,0.0585583,0.07828,-1
8/26/22,-0.0000544,-0.091666,0.100476,-0.17,1
8/29/22,-0.4939,0.35015,-0.1571,0.06815,-1
8/30/22,0.2202,0.29905,-0.1996333,0.1722667,-1
8/31/22,-0.0015234,-0.61245,-0.1306167,-0.0204306,1
9/1/22,-0.0001409,-0.1909,-0.09908,-0.0027147,-1
9/2/22,-0.3182,0.5267,-0.1162857,-0.13194,-1
9/6/22,-0.0006559,-0.0007566,0.0012917,-0.238225,1
9/7/22,0.34,0.4144,-0.3933,0.3033667,1
9/8/22,-0.195675,0.34,-0.004083333,-0.20095,
